name,latitude,longitude,state,lga,care_level,category,functional_status
Ajiri Model Primary Health Center,11.9739,13.7119,Borno,Mafa,primary,Primary Health Center,Functional
400 Housing Estate Clinic B,11.90694,13.08306,Borno,Konduga,primary,Primary Health Center,Functional
Kumaga Health Clinic,12.1347911,14.6197821,Borno,Kala Balge,primary,Primary Health Center,Functional
Nysc Camp Borno Camp Clinic,11.83846,13.1366,Borno,Maiduguri,primary,Private Non Profit,Functional
Tashan Goigoi Clinic,11.07062,13.6903,Borno,Gwoza,primary,Private Non Profit,Functional
Mashamari Clinic,11.88157,13.28241,Borno,Jere,primary,Private Non Profit,Functional
Dalaram Clinic,11.8615,13.21471,Borno,Jere,primary,Private Non Profit,Functional
Shehus Palace Clinic,11.8484,13.1609,Borno,Maiduguri,primary,Private Non Profit,Functional
Naf Emergency Hospital,11.529405,13.688382,Borno,Bama,primary,Military and Paramilitary Clinic,Functional
Zajeri Clinic,11.8725,13.12722,Borno,Maiduguri,primary,Private Non Profit,Functional
Nairaa Clinic,11.8269782129,13.1738085414,Borno,Maiduguri,primary,Private Non Profit,Functional
Mallam Kaunari Health Clinic,13.6985472912,13.3379302329,Borno,Abadam,primary,Primary Health Center,Functional
Hirdaya Clinic Huntaku,10.8653399997,12.7872499995,Borno,Chibok,primary,Private Non Profit,Functional
Gwandawa Dispensary,10.65092,13.0432999995,Borno,Askira Uba,primary,Dispensary,Functional
Ngurihiarvu Health Post,10.76123,13.2623500003,Borno,Askira Uba,primary,Dispensary,Functional
Kautikari Primary Health Care,10.81868,12.9840850003,Borno,Chibok,primary,Primary Health Center,Functional
Rumirgo Model Primary Health Center,10.6581687705,12.9101718562,Borno,Askira Uba,primary,Primary Health Center,Functional
Rimigo Federal Medical Center,10.737657391,13.1323426329,Borno,Askira Uba,secondary,Federal Medical Center,Functional
Gumsuri Clinic,11.1600335301,12.7582534431,Borno,Damboa,primary,Private Non Profit,Functional
Kundesana Clinic,11.0881258778,13.6870882024,Borno,Gwoza,primary,Private Non Profit,Functional
Gava Clinic,11.1055463232,13.6911374122,Borno,Gwoza,primary,Private Non Profit,Functional
Gava Missionary Hospital,11.0792860304,13.6910486507,Borno,Gwoza,primary,Private Non Profit,Functional
Valangide Hospital,11.0698466101,13.6886574283,Borno,Gwoza,primary,Private Non Profit,Functional
Farm Center Idp Camp Health Center,11.2287229744,13.7760024601,Borno,Gwoza,primary,Primary Health Center,Functional
Benisheikh Maternal and Child Health,11.8351439286,13.0801704308,Borno,Jere,primary,Primary Health Center,Functional
Bogum Dispensary,11.8450833707,13.155912447,Borno,Maiduguri,primary,Dispensary,Functional
Lawan House Health Center,11.8368818028,13.1735742838,Borno,Maiduguri,primary,Primary Health Center,Functional
Kerya Health Clinic,11.8246588241,13.1578787667,Borno,Maiduguri,primary,Primary Health Center,Functional
Unicef Clinic,11.8495367409,13.1504953051,Borno,Maiduguri,primary,Private Non Profit,Functional
Kuya Unicef Clinic,11.8328866659,13.1119686202,Borno,Maiduguri,primary,Primary Health Center,Functional
Water Board Unicef Idp Clinic,11.8128292313,13.1398155106,Borno,Maiduguri,primary,Primary Health Center,Functional
Fhi360 Clinic,11.8262195533,13.11776,Borno,Maiduguri,primary,Private Non Profit,Functional
Fhi360 Clinic,11.8489583373,13.1621941863,Borno,Maiduguri,primary,Private Non Profit,Functional
Jere Dispensary,11.2426797531,14.1753242872,Borno,Bama,primary,Dispensary,Functional
Koghum Dispensary,11.332516262,13.5668797912,Borno,Gwoza,primary,Dispensary,Functional
Jaje Dispensary,11.049206071,13.7553925053,Borno,Gwoza,primary,Dispensary,Functional
Alheri Clinic,10.45583,13.21,Borno,Askira Uba,primary,Private Non Profit,Functional
Hausari Msf Clinic,11.1453167,12.7534149,Borno,Damboa,primary,Private Non Profit,Functional
Dominion Maternity,11.8267928304,13.079209978,Borno,Jere,primary,Maternity Home,Functional
Kareto Dispensary,11.8619509037,13.1633081763,Borno,Maiduguri,primary,Dispensary,Functional
Bama Hausari Primary Health Center,11.5049000002,13.6719899997,Borno,Bama,primary,Primary Health Center,Functional
8 Task Force Division Hospital,12.700337,13.63598,Borno,Monguno,primary, ,Functional
AAH GSSS IDP Camp Clinic,12.679118,13.608157,Borno,Monguno,primary, ,Functional
ACF NRC IDP Camp Clinic,12.666168,13.624167,Borno,Monguno,primary, ,Functional
Ajjari IDP Camp Clinic,11.923692,13.601777,Borno,Mafa,primary, ,Functional
Alagarno Dispensary,10.707255,12.739648,Borno,Askira Uba,primary, ,Functional
Bakassi IDP Camp Clinic,12.663473,13.606423,Borno,Monguno,primary, ,Functional
Bera Dispensary,10.66856,12.036723,Borno,Biu,primary, ,Functional
Boarding Primary School IDP Camp Clinic,11.665381,13.396635,Borno,Konduga,primary, ,Functional
Custom House IDP Clinic,11.22812228,13.77690763,Borno,Gwoza,primary,Military and Paramilitary Clinic,Functional
Delta Base damboa Msf Clinic,11.1613,12.7577,Borno,Damboa,primary,Others,Functional
University Of Maiduguri Teaching Hospital Umth,11.8340429999,13.1864809998,Borno,Jere,primary,Primary Health Center,Functional
IDP Camp Clinic,12.269055,14.463672,Borno,Kala Balge,primary, ,Functional
IDP Camp Custom House,11.82344,13.193,Borno,Jere,primary,Military and Paramilitary Clinic,Functional
Kelle Dispensary,10.69348145,13.20410156,Borno,Askira Uba,primary, ,Functional
Makalama Health Post,10.733282,12.995127,Borno,Chibok,primary, ,Functional
Muna Alima Clinic,11.866345,13.24527,Borno,Jere,primary, ,Functional
Muna IDP Camp Clinic B,11.87409,13.250608,Borno,Jere,primary, ,Functional
Rehabilitation Centre IDP Camp Clinic,11.833303,13.087453,Borno,Jere,primary, ,Functional
UNICEF Kuya IDP Camp Clinic,12.66549,13.619243,Borno,Monguno,primary, ,Functional
Zonal Health Office,11.83611,13.15083,Borno,Maiduguri,primary,Others,Functional
Epid Unit Health Clinic,11.83139,13.15111,Borno,Maiduguri,primary,Primary Health Center,Functional
Monguno Family Support Programme Clinic,12.66683,13.61814,Borno,Monguno,primary,Primary Health Center,Functional
Kwgulathu Family Support Programme Clinic,10.43034256,12.54630664,Borno,Hawul,primary,Primary Health Center,Functional
Gamboru Clinic,11.84557,13.16676666,Borno,Maiduguri,primary,Primary Health Center,Functional
Laje Primary Health Care Center,12.1976199999,13.4254580002,Borno,Mafa,primary,Primary Health Center,Functional
Gwange Maternal and Child Health Clinic,11.8275,13.1675,Borno,Maiduguri,primary,Primary Health Center,Functional
Kopa Dispensary,10.75944,13.3125,Borno,Askira Uba,primary,Dispensary,Functional
Lokoja Eyn Dispensary,10.28070068,12.00708008,Borno,Hawul,primary,Dispensary,Functional
Bama General Hospital,11.530622,13.688927,Borno,Bama,secondary,General Hospital,Functional
Garu Maternal and Child Health Clinic,10.86634167,12.853895,Borno,Chibok,primary,Primary Health Center,Functional
Kareram Health Center,12.15589,12.80756,Borno,Magumeri,primary,Primary Health Center,Functional
Mafa Town Clinic Maternity and Child Health,11.92089844,13.5993042,Borno,Mafa,primary,Maternity Home,Functional
Aah Clinic,11.83852,13.1498,Borno,Maiduguri,primary,Primary Health Center,Functional
Kukawa Maternal and Child Health,12.9230957,13.56829834,Borno,Kukawa,primary,Primary Health Center,Functional
Hirpaya Dispensary,10.86755833,12.78967833,Borno,Chibok,primary,Dispensary,Functional
Garere Health Clinic,13.1974700003,13.2644099997,Borno,Abadam,primary,Primary Health Center,Functional
Hirku Clinic and Maternity Home,10.62390137,12.18688965,Borno,Biu,primary,Maternity Home,Functional
Shehuri Dispensary,12.43657,14.18327,Borno,Ngala,primary,Dispensary,Functional
Kangarwa Health Clinic,13.14855,13.55785,Borno,Kukawa,primary,Primary Health Center,Functional
Shuwari Health Post,10.80072022,13.33447266,Borno,Askira Uba,primary,Dispensary,Functional
Wanori Primary Health Clinic,11.74591064,13.30108643,Borno,Konduga,primary,Primary Health Center,Functional
Shaffa Health Post,10.49884,12.35493,Borno,Hawul,primary,Dispensary,Functional
Chull Primary Health Center Temp,10.61528,13.13167,Borno,Askira Uba,primary,Primary Health Center,Functional
Police Clinic,11.8245529544,13.1261688513,Borno,Maiduguri,secondary,Military and Paramilitary Clinic,Functional
Baale Health Clinic,11.2062500003,13.0674299999,Borno,Damboa,primary,Primary Health Center,Functional
Cocin Clinic,11.5109400003,13.6883099998,Borno,Bama,primary,Private Non Profit,Functional
Kareto Health Center,12.882989173,12.508303568,Borno,Mobbar,primary,Primary Health Center,Functional
Eyn Health Post,10.3325679997,12.0876430002,Borno,Hawul,primary,Dispensary,Functional
Ngamma Health Center,12.3803980001,12.6788369999,Borno,Magumeri,primary,Primary Health Center,Functional
Askira East B Saidu Dispensary,10.649427,12.9108040005,Borno,Askira Uba,primary,Dispensary,Functional
Kuburnbula Dispensary,10.8807300001,12.9206100001,Borno,Chibok,primary,Dispensary,Functional
Dominion Maternity Clinic Gomari,11.8380499996,13.0731399998,Borno,Jere,primary,Maternity Home,Functional
Borjino Health Center,11.5297400001,14.1432699999,Borno,Bama,primary,Primary Health Center,Functional
Dumde Mugaire Health Center,10.45844718,13.22693467,Borno,Askira Uba,primary,Primary Health Center,Functional
Duji Comprehensive Health Center,13.2611599995,12.6165299995,Borno,Mobbar,primary,Comprehensive Health Center,Functional
Gudumbali Maternity and Child Hospital,12.9455000001,13.1760299997,Borno,Guzamala,primary,Maternity Home,Functional
Gatibo Maternity and Child Hospital,12.1124700001,13.9885999998,Borno,Dikwa,primary,Maternity Home,Functional
Sigal Health Clinic,12.2872209998,14.5351750002,Borno,Kala Balge,primary,Primary Health Center,Functional
Miringa Maternity Health Center,10.72601,12.1456699996,Borno,Biu,primary,Maternity Home,Functional
Biu Town Dispensary,10.6113030001,12.1959449998,Borno,Biu,primary,Dispensary,Functional
Gur Lawan Dispensary,10.7787059998,12.2291130003,Borno,Biu,primary,Dispensary,Functional
Eye Clinic,11.82677495,13.14467179,Borno,Maiduguri,primary,Primary Health Center,Functional
Pompomari Primary Health Center,11.836486816,13.065917969,Borno,Konduga,primary,Primary Health Center,Functional
Mission Health Center,12.3813599998,14.1976899999,Borno,Ngala,primary,Primary Health Center,Functional
Pubagu Dispensary,10.5386129997,13.0056099999,Borno,Askira Uba,primary,Dispensary,Functional
Dawal Dispensary,10.600927,11.7128529995,Borno,Bayo,primary,Dispensary,Functional
Mussa A Primary Health Center,10.7098679166,13.1154866023,Borno,Askira Uba,primary,Primary Health Center,Functional
Modu Kimari Health Post,11.7040861221,13.8567536955,Borno,Bama,primary,Dispensary,Functional
Ndaba Health Clinic,11.2397292374,13.9435333407,Borno,Gwoza,primary,Primary Health Center,Functional
Duzuwa Dispensary,10.8861379998,11.7657590005,Borno,Biu,primary,Dispensary,Functional
Panana Dispensary,10.9181189996,11.7692069998,Borno,Biu,primary,Dispensary,Functional
Kamuya Clinic,11.0349699999,12.0566200001,Borno,Biu,primary,Primary Health Center,Functional
Gorgore Dispensary,11.2439599999,12.11978,Borno,Damboa,primary,Dispensary,Functional
Sarki Clinic,10.6190600004,12.1700400002,Borno,Biu,primary,Primary Health Center,Functional
Maitaimako Clinic,10.6173000002,12.1766499997,Borno,Biu,primary,Primary Health Center,Functional
Machar Clinic,10.6193499996,12.1803400002,Borno,Biu,primary,Primary Health Center,Functional
Lawan Lokoja Health Post,10.3824879996,12.2642940002,Borno,Hawul,primary,Dispensary,Functional
Ajigin Health Clinic,11.1690600001,12.2794599995,Borno,Damboa,primary,Primary Health Center,Functional
Talala Dispensary,11.2206100001,12.3147999995,Borno,Damboa,primary,Dispensary,Functional
Shaffa Primary Health Clinic,10.51261,12.3276100002,Borno,Hawul,primary,Primary Health Center,Functional
Nguma Dispensary,10.7310210004,12.3597330001,Borno,Biu,primary,Dispensary,Functional
Chirallia Dispensary,11.1459110003,12.3634679996,Borno,Damboa,primary,Dispensary,Functional
Pelabirni Dispensary,10.4063229998,12.3703030002,Borno,Hawul,primary,Dispensary,Functional
Burgumma Dispensary,11.6007000003,12.4054000001,Borno,Kaga,primary,Dispensary,Functional
Dusula Dispensary,11.22932,12.4726159998,Borno,Damboa,primary,Dispensary,Functional
Damaoak General Hospital,13.0944100002,12.5050699998,Borno,Mobbar,secondary,General Hospital,Functional
Ghung Dispensary,10.4111020001,12.5212149998,Borno,Hawul,primary,Dispensary,Functional
Auma Dispensary,11.0607000004,12.5426800004,Borno,Damboa,primary,Dispensary,Functional
Korede Dispensary,11.0521759996,12.5446599997,Borno,Damboa,primary,Dispensary,Functional
Tobalo Health Clinic,11.5567300005,12.5498100002,Borno,Kaga,primary,Primary Health Center,Functional
Multe Dispensary,10.9520989996,12.6057290002,Borno,Damboa,primary,Dispensary,Functional
Biji Biji Dispensary,10.4830269999,12.6119050004,Borno,Askira Uba,primary,Dispensary,Functional
Wawa Lawanti Dispensary,11.0923099999,12.6536239997,Borno,Damboa,primary,Dispensary,Functional
Foi Dispensary,11.29117,12.6645100001,Borno,Kaga,primary,Dispensary,Functional
Ardoram Dispensary,12.2493790001,12.7365090001,Borno,Magumeri,primary,Dispensary,Functional
Bula Kudugu Health Post,10.7040200001,12.7390199998,Borno,Askira Uba,primary,Dispensary,Functional
Kingowa Dispensary,12.6056310001,12.8592720005,Borno,Gubio,primary,Dispensary,Functional
Diggiri Dispensary,11.219787,10.526103,Bauchi,Darazo,primary,Dispensary,Functional
Masba Abbari Health Clinic,11.5988,13.0202099998,Borno,Konduga,primary,Primary Health Center,Functional
Dembo Mussa Dispensary,10.63331,13.0303599997,Borno,Askira Uba,primary,Dispensary,Functional
Ngwalimiri Dispensary,11.2947300004,13.0878179998,Borno,Damboa,primary,Dispensary,Functional
Ambursa Clinic,11.8865939996,13.1097809997,Borno,Maiduguri,primary,Primary Health Center,Functional
Ajiri Health Clinic,11.6602149998,13.1135450002,Borno,Konduga,primary,Primary Health Center,Functional
Federal Neuro Psychiatric Hospital,11.8650109999,13.1187889998,Borno,Maiduguri,tertiary,Specialist Hospital,Functional
Kwatam Clinic,11.8632779997,13.1340260002,Borno,Maiduguri,primary,Primary Health Center,Functional
Huyim Dispensary,10.7679699995,13.1424099999,Borno,Askira Uba,primary,Dispensary,Functional
Chest Diseases Screening Center,11.8493810003,13.1425059999,Borno,Maiduguri,tertiary,Specialist Hospital,Functional
Borno Orthopaedic Center,11.8041399996,13.1448599995,Borno,Maiduguri,tertiary,Specialist Hospital,Functional
Wasada Dispensary Nkurvu,10.8438800001,13.1493899996,Borno,Askira Uba,primary,Dispensary,Functional
City Hospital,11.8555040005,13.1518740003,Borno,Maiduguri,primary,Primary Health Center,Functional
Garbwala Clinic,11.8084350005,13.1663260001,Borno,Maiduguri,primary,Primary Health Center,Functional
State Psychatric Hospital,11.8509620004,13.1681500003,Borno,Maiduguri,tertiary,Specialist Hospital,Functional
Ribadu Dispensary,10.6477789999,13.1682800004,Borno,Askira Uba,primary,Dispensary,Functional
Mulgoi Dispensary,11.2512529999,13.1726680004,Borno,Damboa,primary,Dispensary,Functional
21 Brigade Medical Center,11.79744,13.1734299999,Borno,Jere,secondary,Military and Paramilitary Clinic,Functional
Heman Diagonostic and Hospital Center,11.8098740005,13.1812600002,Borno,Maiduguri,primary,Primary Health Center,Functional
Syklark Hospital,6.83206,3.64784,Ogun,Shagamu,primary,Primary Health Center,Functional
Badu Primary Health Clinic,12.7008119998,13.2203409998,Borno,Nganzai,primary,Primary Health Center,Functional
Mbuta Clinic,12.0400399998,13.2522000004,Borno,Mafa,primary,Primary Health Center,Functional
Guzamala Lawanti Health Clinic,12.6611399999,13.2777499998,Borno,Guzamala,primary,Primary Health Center,Functional
Torowa Clinic,12.5407900001,13.2837599999,Borno,Nganzai,primary,Primary Health Center,Functional
Masu Clinic,12.2042200004,13.3053799996,Borno,Mafa,primary,Primary Health Center,Functional
Arge Health Clinic,13.4872400001,13.3282700001,Borno,Abadam,primary,Primary Health Center,Functional
Loskuri Clinic,11.8820200005,13.3400800002,Borno,Mafa,primary,Primary Health Center,Functional
Damakuli Health Clinic,12.2690700005,13.3851699998,Borno,Monguno,primary,Primary Health Center,Functional
Konduga General Hospital,11.6571899997,13.4064400002,Borno,Konduga,secondary,General Hospital,Functional
Metele Health Clinic,13.3585199997,13.42373,Borno,Abadam,primary,Primary Health Center,Functional
Yabal Dispensary,11.7334989996,13.4324719999,Borno,Konduga,primary,Dispensary,Functional
Maidurmari Health Clinic,11.5347199995,13.4814800002,Borno,Konduga,primary,Primary Health Center,Functional
Mairami Health Clinic,11.6013999998,13.4889100003,Borno,Konduga,primary,Primary Health Center,Functional
Kawuri Health Clinic,11.5760899996,13.5331900004,Borno,Konduga,primary,Primary Health Center,Functional
Kashimri Health Clinic,11.591352,13.57831,Borno,Konduga,primary,Primary Health Center,Functional
Aulari Health Clinic,11.5436199995,13.5928399999,Borno,Konduga,primary,Primary Health Center,Functional
Mafa General Hospital,11.9199300002,13.5964400003,Borno,Mafa,secondary,General Hospital,Functional
Goni Kurmi Health Center,11.4767800001,13.6315900002,Borno,Bama,primary,Primary Health Center,Functional
Fadagwe Dispensary,11.0877699998,13.63862,Borno,Gwoza,primary,Dispensary,Functional
