name,latitude,longitude,state,lga,care_level,category,functional_status
Orianauga Hospital,5.420506667,7.37047,Abia,Isiala-Ngwa North,primary,Primary Health Center,Functional
Titilope Hospital Aagba,7.80704,4.6739,Osun,Obokun,primary,Primary Health Center,Functional
Riro Maternity Home,7.48362,4.54776,Osun,Ife East,primary,Maternity Home,Functional
Omoatenigbore Medical Center,7.48473,4.54233,Osun,Ife East,primary,Medical Center,Functional
Hankur Maternity Home,7.49735,4.54732,Osun,Ife Central,primary,Maternity Home,Functional
Omi Asoro,7.82403,4.52195,Osun,Egbedore,primary,Primary Health Center,Functional
St Francis Medical Center,7.77941,4.56851,Osun,Osogbo,primary,Medical Center,Functional
Rainbow Medical Center,7.93321,4.72228,Osun,Boripe,primary,Medical Center,Functional
Ola Oluwa Clinic,8.01469,4.90492,Osun,Ila,primary,Primary Health Center,Functional
Celik Hospital,6.4795,3.343308333,Lagos,Surulere,primary,Primary Health Center,Functional
Prime Clinic Ondo,7.1074,4.85397,Ondo,Ile Oluji/Okeigbo,primary,Primary Health Center,Functional
Abitoye Hospital,7.26267,5.2187,Ondo,Ifedore,primary,Primary Health Center,Functional
St Monica De Grace and Maternity,5.64569,7.0794,Imo,Isu,primary,Maternity Home,Functional
Trinity Hospital,5.75356,7.11292,Imo,Nkwerre,primary,Primary Health Center,Functional
Ezindo Modern Hospital,5.44079,7.29654,Imo,Ezinihitte,primary,Primary Health Center,Functional
Joint Hospital and Maternity,5.67897,7.24243,Imo,Isiala Mbano,primary,Maternity Home,Functional
Pacific Hospital,7.49866,7.17476,Kogi,Dekina,primary,Primary Health Center,Functional
Veritas Clinic and Maternity,7.82919,6.07331,Kogi,Kabba/Bunu,primary,Maternity Home,Functional
Ayetorokiri Private Health Center,7.83328,6.07481,Kogi,Kabba/Bunu,primary,Primary Health Center,Functional
Rapha Clinic and Maternity Anyigba,7.52132,7.17336,Kogi,Dekina,primary,Maternity Home,Functional
Idoyi Private Health Center,8.07033,6.06281,Kogi,Kabba/Bunu,primary,Primary Health Center,Functional
Okwu Community Hospital,5.54462,7.18974,Imo,Ikeduru,primary,Private Non Profit,Functional
Alufa Otere Hospital,8.75759,4.67336,Kwara,Moro,primary,Primary Health Center,Functional
St andrews Hospital Uburu Ekwe,5.71731035767,7.04154981149,Imo,Isu,primary,Primary Health Center,Functional
Uzondu Clinic and Maternity,5.468026667,7.028368333,Imo,Owerri Municipal,primary,Maternity Home,Functional
New Life Maternity Hospital Egbelu Umuhu,5.46886180923,7.17077727564,Imo,Aboh-Mbaise,primary,Maternity Home,Functional
Uzochi Kebraf Hospital and Maternity,5.675645,7.070568333,Imo,Isu,primary,Maternity Home,Functional
Kezanda Hospital and Maternity Mgbidi,5.731363333,6.88586,Imo,Oru West,primary,Maternity Home,Functional
Careway Hospital and Maternity,6.592598333,3.289766667,Lagos,Alimosho,primary,Maternity Home,Functional
Anuoluwatifunmi Maternity,7.247445,3.856885,Oyo,Oluyole,primary,Maternity Home,Functional
Bambam Health Center,9.647341667,11.53802833,Gombe,Balanga,primary,Primary Health Center,Functional
Lakidir Health Center,9.935258333,11.29266833,Gombe,Kaltungo,primary,Primary Health Center,Functional
Ogunmoded Memorial Hospital and Maternity Home,6.549296667,3.262553333,Lagos,Alimosho,primary,Maternity Home,Functional
De Better Life Medical Center,6.51945,3.257693333,Lagos,Alimosho,primary,Medical Center,Functional
Moriola Clinic and Maternity Home,6.520605,3.258225,Lagos,Alimosho,primary,Maternity Home,Functional
Patgelina Clinic,6.48328,3.3726,Lagos,Lagos Mainland,primary,Primary Health Center,Functional
Bhbreeze Hospital Ippnri,6.487943333,3.365466667,Lagos,Lagos Mainland,primary,Primary Health Center,Functional
St Joseph Eye Clinic,6.58022,3.239068333,Lagos,Alimosho,primary,Primary Health Center,Functional
Raufmomic Health Care,6.638906667,3.258968333,Lagos,Alimosho,primary,Primary Health Center,Functional
Chibuzo Maternity,5.873328333,6.814585,Anambra,Ihiala,primary,Maternity Home,Functional
Yenagoa Federal Medical Center,4.93501,6.26636,Bayelsa,Yenegoa,secondary,Federal Medical Center,Functional
Ngbodo Hospital,6.337265,8.094365,Ebonyi,Ebonyi,primary,Primary Health Center,Functional
Broad Hospital and Maternity,6.54917,3.266171667,Lagos,Alimosho,primary,Maternity Home,Functional
Adenaike Hospital,6.645061667,3.354096667,Lagos,Ikeja,primary,Primary Health Center,Functional
Royan Hospital,6.644263333,3.363435,Lagos,Ikeja,primary,Primary Health Center,Functional
Grace Land Medical Center,6.4902,3.200075,Lagos,Ojo,primary,Medical Center,Functional
New Gate Hospital,6.622931667,3.496846667,Lagos,Ikorodu,primary,Primary Health Center,Functional
Primex Hospital,6.548663333,3.260695,Lagos,Alimosho,primary,Primary Health Center,Functional
Runsewe Hospital,6.462635,3.390245,Lagos,Lagos Island,primary,Primary Health Center,Functional
Big Ways Clinic,6.55845,3.59086,Lagos,Ikorodu,primary,Primary Health Center,Functional
Christ The King Clinic Eha Amufu,6.655505,7.770085,Enugu,Isi-Uzo,primary,Primary Health Center,Functional
Nwadinobi Maternity Home,6.11844,7.37558,Enugu,Oji-River,primary,Maternity Home,Functional
Okwuabala Primary Health Center,5.81180251437,7.02997389237,Imo,Orlu,primary,Primary Health Center,Functional
Achara Uturu Community Hospital,5.84457427985,7.42700131153,Abia,Isuikwuato,primary,Community Health Center,Functional
Egba District Hospital,6.4961,5.75031,Edo,Uhunmwonde,secondary,District Hospital,Functional
Med Center Faith Dome,6.73801,6.1436,Edo,Esan West,primary,Primary Health Center,Functional
Idunu Maternity Home,6.38232,2.748913333,Lagos,Badagry,primary,Maternity Home,Functional
Datam Conv Health Care Center,6.522565,3.250633333,Lagos,Alimosho,primary,Primary Health Center,Functional
De Fairlane Hospital,6.553373333,3.24829,Lagos,Alimosho,primary,Primary Health Center,Functional
9 Brigade Medical Center,6.567373333,3.358488333,Lagos,Ikeja,secondary,Military and Paramilitary Clinic,Functional
First Faith Medical Center,6.47976,3.333671667,Lagos,Surulere,primary,Medical Center,Functional
Our Lady of Lords Catholic Clinic,6.476805,3.331806667,Lagos,Surulere,primary,Primary Health Center,Functional
Eyespecs Optical,6.595978333,3.351458333,Lagos,Ikeja,primary,Primary Health Center,Functional
Ogunlana Hospital Annex Ajagbe Street,6.64994,3.542973333,Lagos,Ikorodu,primary,Primary Health Center,Functional
Damilola Trado Medical Hospital and Maternity Home,6.5931926,3.2218029,Lagos,Alimosho,primary,Maternity Home,Functional
Fruitful Vine Hospital and Maternity,6.5836091,3.5383695,Lagos,Ikorodu,primary,Maternity Home,Functional
Runsewe Hospital,6.45055,3.399536667,Lagos,Lagos Island,primary,Primary Health Center,Functional
Life O Guard Hospital,6.5626859,3.4805823,Lagos,Ikorodu,primary,Primary Health Center,Functional
Warm Heart Hospital,6.61808,3.569256667,Lagos,Ikorodu,primary,Primary Health Center,Functional
Eko Hospital,6.4451245,3.4147522,Lagos,Eti Osa,primary,Primary Health Center,Functional
Crystal Eye Clinic,6.586423333,3.383856667,Lagos,Kosofe,primary,Primary Health Center,Functional
Korea Acupuncture Hospital,6.486046667,3.38643,Lagos,Lagos Mainland,primary,Primary Health Center,Functional
Iffex Clinic and Maternity Home,6.519676667,3.255763333,Lagos,Alimosho,primary,Maternity Home,Functional
All Grace Hospital,6.521045,3.257201667,Lagos,Alimosho,primary,Primary Health Center,Functional
Rabonni Specialist Hospital,6.544785,3.374063333,Lagos,Shomolu,tertiary,Specialist Hospital,Functional
Aderan Hospital,6.4796441,3.7020026,Lagos,Ibeju Lekki,primary,Primary Health Center,Functional
Bisol Hospital,6.474164,3.7219171,Lagos,Ibeju Lekki,primary,Primary Health Center,Functional
Dental Clinic Physiotherapy,6.466391667,3.56205,Lagos,Eti Osa,primary,Primary Health Center,Functional
Nusamin Hospital Annex,6.48721,3.352745,Lagos,Surulere,primary,Primary Health Center,Functional
Optical Cancer Care Foundation,6.489073333,3.358618333,Lagos,Surulere,primary,Primary Health Center,Functional
New Health Clinic,6.479346667,3.34364,Lagos,Surulere,primary,Primary Health Center,Functional
Randc Renal Dialysis Center,6.603366667,3.352835,Lagos,Ikeja,primary,Primary Health Center,Functional
Bossel Eye Care,6.6187607,3.3456593,Lagos,Ikeja,primary,Primary Health Center,Functional
Moyo Medical Center,6.583411667,3.251913333,Lagos,Alimosho,primary,Medical Center,Functional
Rapha Eye Clinic,6.505648333,3.365583333,Lagos,Surulere,primary,Primary Health Center,Functional
Xserve Childrens Hospital,6.502588333,3.349263333,Lagos,Surulere,primary,Primary Health Center,Functional
Libra Specialist Hospital,6.50298,3.350225,Lagos,Surulere,tertiary,Specialist Hospital,Functional
Boot Hospitals and Fertility Center,6.501995,3.354176667,Lagos,Surulere,primary,Primary Health Center,Functional
Ear Nose and Throat Clinic,6.503898333,3.352193333,Lagos,Surulere,primary,Primary Health Center,Functional
Akitrungra Korea Hospital,6.50522,3.351785,Lagos,Surulere,primary,Primary Health Center,Functional
Ambassador Medical Clinics,6.4481331,3.4126376,Lagos,Eti Osa,primary,Primary Health Center,Functional
Best Care,6.4476965,3.4149114,Lagos,Eti Osa,primary,Primary Health Center,Functional
Oluwani Sikmo Hospital,6.509458333,3.367098333,Lagos,Surulere,primary,Primary Health Center,Functional
Holy Cross Cathedral Clinic,6.449773333,3.396718333,Lagos,Lagos Island,primary,Private Non Profit,Functional
Abs Medicare Center Clinic and Maternity,6.63715,3.259026667,Lagos,Alimosho,primary,Maternity Home,Functional
Supreme Health Clinic,6.510683333,3.359856667,Lagos,Surulere,primary,Primary Health Center,Functional
Ab Specialist Hospital,6.51044,3.358261667,Lagos,Surulere,tertiary,Specialist Hospital,Functional
St Edmund Clinic,6.509896667,3.359113333,Lagos,Surulere,primary,Primary Health Center,Functional
Ladkem Eye Clinic,6.497001667,3.346866667,Lagos,Surulere,primary,Primary Health Center,Functional
The Vine Medical Center,6.583481667,3.246223333,Lagos,Alimosho,primary,Medical Center,Functional
Meb Eye Clinic,6.5987771,3.3426171,Lagos,Ikeja,primary,Primary Health Center,Functional
Kate Medical Clinic,6.453573333,3.39112,Lagos,Lagos Island,primary,Primary Health Center,Functional
Ajike Sanda Memorial Medical Center,6.457706667,3.394911667,Lagos,Lagos Island,primary,Medical Center,Functional
Yemsol Clinic,6.453406667,3.399976667,Lagos,Lagos Island,primary,Primary Health Center,Functional
Mabadeje Specialist Hospital,6.54767,3.38713,Lagos,Shomolu,tertiary,Specialist Hospital,Functional
St Mary Specialist Hospital,6.63346,3.58976,Lagos,Ikorodu,tertiary,Specialist Hospital,Functional
Glory Hospital and Maternity,6.478555,3.33115,Lagos,Surulere,primary,Maternity Home,Functional
Hero Medical Center Hospital and Maternity,6.480793333,3.337211667,Lagos,Surulere,primary,Maternity Home,Functional
De Balm of Gilead Maternity Home,6.598693333,3.525696667,Lagos,Ikorodu,primary,Maternity Home,Functional
Irogho Nursing and Maternity Clinic,6.599263333,3.52491,Lagos,Ikorodu,primary,Maternity Home,Functional
Akinbiola Convalescent Clinic,6.603366667,3.522286667,Lagos,Ikorodu,primary,Primary Health Center,Functional
Goodness Medical Services,6.460983333,3.144333333,Lagos,Ojo,primary,Primary Health Center,Functional
Temap Convalescent Clinic and Maternity,6.5766401,3.5319804,Lagos,Ikorodu,primary,Maternity Home,Functional
Jumoke Hospital,6.566711667,3.301575,Lagos,Oshodi/Isolo,primary,Primary Health Center,Functional
May Hospital Ilasa,6.52284,3.33743,Lagos,Mushin,primary,Primary Health Center,Functional
Shalom Riyyah Hospital and Maternity,6.467521667,3.242245,Lagos,Amuwo Odofin,primary,Maternity Home,Functional
Graceland Hospital,6.4611901,3.6795564,Lagos,Ibeju Lekki,primary,Primary Health Center,Functional
Archbishop Vining Memorial Clinic,6.585913333,3.345421667,Lagos,Ikeja,primary,Private Non Profit,Functional
Ore Ofe Hospital,6.482203333,3.371991667,Lagos,Lagos Mainland,primary,Primary Health Center,Functional
St Leos Medical Center,6.597173333,3.350488333,Lagos,Ikeja,primary,Private Non Profit,Functional
Dero Medical Center,6.462335,3.392353333,Lagos,Lagos Island,primary,Medical Center,Functional
Nimota Hospital,6.460496667,3.388551667,Lagos,Lagos Island,primary,Primary Health Center,Functional
Tunrayo Hospital,6.510001667,3.369078333,Lagos,Surulere,primary,Primary Health Center,Functional
Ajenifuja Maternity Hospital,6.458503333,3.381948333,Lagos,Lagos Island,primary,Maternity Home,Functional
Eko Hospital,6.505316667,3.354476667,Lagos,Surulere,primary,Primary Health Center,Functional
Ogunlana Clinic,6.620113333,3.519811667,Lagos,Ikorodu,primary,Primary Health Center,Functional
Estate Medical Center,6.48658,2.90533,Lagos,Badagry,primary,Medical Center,Functional
City of Hope Medical Center,6.45998,3.34549,Lagos,Ajeromi/Ifelodun,primary,Medical Center,Functional
St Judes Hospital Maternity,6.4633,3.29558,Lagos,Amuwo Odofin,primary,Maternity Home,Functional
Praise Medical Center,6.4681,3.28899,Lagos,Amuwo Odofin,primary,Medical Center,Functional
Agbomagbe Olumide Memorial,6.52314,3.37032,Lagos,Lagos Mainland,primary,Primary Health Center,Functional
Gwanda Federal Health Center,12.5690918,8.569091797,Kano,Dambatta,primary,Primary Health Center,Functional
Tai Clinic,6.51258,3.31,Lagos,Oshodi/Isolo,primary,Primary Health Center,Functional
New Alpha Medical Center,6.61429,3.30496,Lagos,Agege,primary,Medical Center,Functional
Physiofit,6.469756667,3.565675,Lagos,Eti Osa,primary,Primary Health Center,Functional
Norex Clinic,6.46524,3.24141,Lagos,Amuwo Odofin,primary,Primary Health Center,Functional
De Tee and Kay Maternity Home,6.64584,3.34689,Lagos,Ikeja,primary,Maternity Home,Functional
Bolakunmi Memoril Medical Center,6.60615,3.38975,Lagos,Kosofe,primary,Medical Center,Functional
New Era Clinics and Maternity,6.5608,3.34776,Lagos,Oshodi/Isolo,primary,Maternity Home,Functional
Ebenezery Hospital and Maternity,6.55672,3.30135,Lagos,Oshodi/Isolo,primary,Maternity Home,Functional
Rccg Maternity,6.53588,3.3799,Lagos,Shomolu,primary,Maternity Home,Functional
Tomi Pacific Convalescent Home,6.6559,3.57474,Lagos,Ikorodu,primary,Primary Health Center,Functional
Dele Clinic,6.62122,3.51592,Lagos,Ikorodu,primary,Primary Health Center,Functional
Odo Oluwa Medical Center,6.636078333,3.98775,Lagos,Epe,primary,Medical Center,Functional
St Anthonys Catholic Hospital,5.98041,7.397793333,Abia,Umu-Nneochi,primary,Private Non Profit,Functional
The Hosanna Hospital,6.46724,3.28412,Lagos,Amuwo Odofin,primary,Primary Health Center,Functional
Eltone Dental Clinic,6.32443,8.11535,Ebonyi,Abakaliki,primary,Primary Health Center,Functional
Doctors Specialist Hospital,6.3256,8.11676,Ebonyi,Ebonyi,tertiary,Specialist Hospital,Functional
St Anthony Eye Clinic,6.326013333,8.115053333,Ebonyi,Ebonyi,primary,Primary Health Center,Functional
Rita Patent Medical Center,6.073396667,7.998291667,Ebonyi,Ezza South,primary,Medical Center,Functional
Destiny Hospital,6.278998333,8.38527,Ebonyi,Abakaliki,primary,Primary Health Center,Functional
Joyo Medical Center,6.033593333,7.811465,Ebonyi,Ohaozara,primary,Medical Center,Functional
Madam Nweke Clinic,6.186268333,8.305826667,Ebonyi,Ikwo,primary,Primary Health Center,Functional
Jesus Investment Clinic,6.190555,8.265181667,Ebonyi,Ikwo,primary,Primary Health Center,Functional
Clinics and Maternity Ogwuikpa,5.969696667,7.22867,Anambra,Orumba South,primary,Maternity Home,Functional
Amanda Maternity,6.009773333,7.28108,Anambra,Orumba South,primary,Maternity Home,Functional
Chess Hospital,5.110786667,7.378563333,Abia,Aba North,primary,Primary Health Center,Functional
Our God Heals,5.088678333,7.370603333,Abia,Aba South,primary,Primary Health Center,Functional
Zasfat Muslim Hospital,7.869656667,3.892133333,Oyo,Oyo West,primary,Primary Health Center,Functional
Alafia Medical Center,7.858188333,3.926163333,Oyo,Oyo West,primary,Medical Center,Functional
Onyedikachi Hospital and Maternity,6.50423,6.956138333,Anambra,Ayamelum,primary,Maternity Home,Functional
Elshaddai Maternity,4.90273,7.181913333,Abia,Ukwa West,primary,Maternity Home,Functional
Yori Clinic,5.646271667,7.829743333,Abia,Ohafia,primary,Primary Health Center,Functional
Uzondu Hospital Poly Clinic,5.646245,7.831243333,Abia,Ohafia,primary,Educational Clinic,Functional
Chinedu Clinic and Maternity,5.48563440574,7.03033586704,Imo,Owerri Municipal,primary,Maternity Home,Functional
Emergency Medical Services Izombe,5.6287599,6.8665726,Imo,Oguta,primary,Primary Health Center,Functional
Kanko Primary Health Center Edu Lga,9.02857,5.088341667,Kwara,Edu,primary,Primary Health Center,Functional
Al Nur Maternity Hospital,8.83471,7.88011,Nasarawa,Keffi,primary,Maternity Home,Functional
Bubo Memorial Clinic,9.02030521117,8.2953878883,Nasarawa,Akwanga,primary,Primary Health Center,Functional
Haske Clinic,8.53773697207,8.22878327487,Nasarawa,Lafia,primary,Primary Health Center,Functional
Gitata Kanuna Clinic,9.1219,7.94202,Nasarawa,Karu,primary,Primary Health Center,Functional
Saint John Mary Hospital,7.463495,5.429565,Ekiti,Ise/Orun,primary,Primary Health Center,Functional
Anfani Hospital Apinni,7.846476667,3.934975,Oyo,Oyo East,primary,Primary Health Center,Functional
Chiemeri Hospital and Maternity,6.03506,7.01558,Anambra,Aguata,primary,Maternity Home,Functional
New Era Hospital,5.107805,7.379388333,Abia,Aba North,primary,Primary Health Center,Functional
St Patrick Memorial Hospital,5.37316,7.13897,Imo,Ngor-Okpala,primary,Primary Health Center,Functional
Salvation Hospital and Maternity Caston Clinic,5.55654,7.13155,Imo,Ikeduru,primary,Maternity Home,Functional
Chibuikem Maternity,6.286481667,8.076703333,Ebonyi,Abakaliki,primary,Maternity Home,Functional
Unity Hospital Complex,5.63522,6.89196,Imo,Oguta,primary,Primary Health Center,Functional
St Gampe Hospital,5.72601,6.81931,Imo,Oguta,primary,Primary Health Center,Functional
Uzoma Hospital Maternity,5.81179,6.97246,Imo,Orsu,primary,Maternity Home,Functional
Moses and Janet Memorial Maternity Home,5.58436,7.31546,Imo,Ihitte/Uboma,primary,Maternity Home,Functional
Okigwe Medical Center,5.83009,7.34486,Imo,Okigwe,primary,Medical Center,Functional
Uchenna Hospital and Maternity,5.62368315438,6.86699695411,Imo,Oguta,primary,Maternity Home,Functional
Holy Cross Hospital and Maternityernty,6.47312,7.91912,Ebonyi,Ohaukwu,primary,Maternity Home,Functional
Victory Specialist Hospital,6.967046667,3.992048333,Ogun,Ijebu North,tertiary,Specialist Hospital,Functional
Amazing Grace Maternity Center,7.082181667,3.910215,Ogun,Ijebu North,primary,Maternity Home,Functional
Covenant Clinic and Maternity Home,6.755008333,3.317786667,Ogun,Ifo,primary,Maternity Home,Functional
Oluwalogbon Medical Center,6.57973,3.088828333,Ogun,Ado Odo/Ota,primary,Medical Center,Functional
Glory Clinic and Maternity,6.65895,3.096075,Ogun,Ado Odo/Ota,primary,Maternity Home,Functional
Bethel Medical Center Hospital and Maternity,6.750755,3.260945,Ogun,Ifo,primary,Maternity Home,Functional
Conerstone Hospital,6.68685,3.36029,Ogun,Ifo,primary,Primary Health Center,Functional
Ipe Olu Maternity Home,7.18763,3.43416,Ogun,Odeda,primary,Maternity Home,Functional
Mother of Christ,6.213995,8.064716667,Ebonyi,Abakaliki,primary,Primary Health Center,Functional
Clinton Hospital,6.7076,3.27815,Ogun,Ado Odo/Ota,primary,Primary Health Center,Functional
Ogo Oluwa Clinic Owode,7.41521,2.99088,Ogun,Imeko Afon,primary,Primary Health Center,Functional
Tawak Clinic,6.80839,3.90659,Ogun,Odogbolu,primary,Primary Health Center,Functional
Fortress Medical Center,5.12375,7.38185,Abia,Aba North,primary,Medical Center,Functional
Dayspring Medical Center,6.67554,2.76869,Ogun,Ipokia,primary,Medical Center,Functional
Olad Hospital and Ultrasound Center,6.967041667,3.988495,Ogun,Ijebu North,primary,Primary Health Center,Functional
Home Care Clinic,6.970256667,3.99016,Ogun,Ijebu North,primary,Primary Health Center,Functional
Emilandu Clinic,6.66217,3.09343,Ogun,Ado Odo/Ota,primary,Primary Health Center,Functional
St Mary Catholic Eyes Hospital,6.935536667,3.904633333,Ogun,Ijebu North,primary,Private Non Profit,Functional
Ota Royal Infirmary Hospital Otta,6.7136237,3.2296898,Ogun,Ado Odo/Ota,primary,Primary Health Center,Functional
Juli Bam Hospital,7.18005,3.34406,Ogun,Abeokuta North,primary,Primary Health Center,Functional
Halajor Model Hospital,6.82107,3.91411,Ogun,Ijebu Ode,primary,Primary Health Center,Functional
Life Care Hospital,6.97258,3.99971,Ogun,Ijebu North,primary,Primary Health Center,Functional
Mobonike Hospital,6.686363333,3.288826667,Ogun,Ifo,primary,Primary Health Center,Functional
Omowunmi Maternity Home,6.7993829,3.8595841,Ogun,Ijebu Ode,primary,Maternity Home,Functional
Pillar Specialist Clinic,6.69797,3.50975,Ogun,Shagamu,tertiary,Specialist Hospital,Functional
Oluwakemi Clinic and Maternity Home,6.945163333,3.641205,Ogun,Ikenne,primary,Maternity Home,Functional
Funmilola Hospital,6.68643,3.4147,Ogun,Ifo,primary,Primary Health Center,Functional
Covenant Hospital,6.922935,3.663951667,Ogun,Ikenne,primary,Primary Health Center,Functional
Lenad Hospital Ogijo,6.701526667,3.513825,Ogun,Shagamu,primary,Primary Health Center,Functional
Omoleye Hospital Debolu,6.698491667,3.513811667,Ogun,Shagamu,primary,Primary Health Center,Functional
Oladayo Medical Center,6.699703333,3.510846667,Ogun,Shagamu,primary,Medical Center,Functional
Oweto Primary Health Center,7.962437053,7.82425391,Benue,Agatu,primary,Primary Health Center,Functional
Igwe Primary Health Center,7.091921674,8.317927738,Benue,Obi,primary,Primary Health Center,Functional
Tarhembe Primary Health Center,7.49147684,8.910126219,Benue,Tarka,primary,Primary Health Center,Functional
Akpagher Primary Health Center,7.301238,8.786198,Benue,Gboko,primary,Primary Health Center,Functional
Ahudo Clinic and Maternity Ahangba,7.462176667,8.75762,Benue,Gboko,primary,Maternity Home,Functional
Samaritan Specialist Clinics and Maternity Annex,6.827926667,8.292126667,Benue,Oju,tertiary,Maternity Home,Functional
Doreen Clinic and Maternity,7.691603333,8.517108333,Benue,Makurdi,primary,Maternity Home,Functional
Prescot All Specialty Medical Center,7.668671667,8.52998,Benue,Makurdi,primary,Medical Center,Functional
Richsylva Clinic andmaternity,6.946521667,8.034963333,Benue,Ado,primary,Primary Health Center,Functional
Mbahan Health Clinic Ankugh,7.18566,8.653756667,Benue,Konshisha,primary,Primary Health Center,Functional
Divine Clinic and Maternity Azunguur,7.532186667,8.834953333,Benue,Tarka,primary,Maternity Home,Functional
Kater Clinic and Maternity Lessel,7.125261667,9.025456667,Benue,Ushongo,primary,Maternity Home,Functional
Akegh Clinic and Maternity Wannune,7.558225,8.878031667,Benue,Tarka,primary,Maternity Home,Functional
Comfort Clinic Maternity High Level,6.785855,9.056525,Benue,Vandeikya,primary,Maternity Home,Functional
Hilltop Clinic and Maternity,7.182331667,8.130218333,Benue,Oturkpo,primary,Maternity Home,Functional
Mkar Hospital,7.317283333,9.045025,Benue,Gboko,primary,Private Non Profit,Functional
Dooser Clinic and Maternity Mkar West,7.316825,9.037391667,Benue,Gboko,primary,Maternity Home,Functional
Anwan Nkst Health Post,7.605285,8.763886667,Benue,Tarka,primary,Dispensary,Functional
Hope Clinic Kaamen,7.647858333,8.781355,Benue,Tarka,primary,Primary Health Center,Functional
Akpata Primary Health Center,7.119494695,7.753220217,Benue,Ogbadibo,primary,Primary Health Center,Functional
Olegagbani Health Post,7.889077092,7.715844438,Benue,Agatu,primary,Dispensary,Functional
Adeka Health Post,7.981713798,7.833932935,Benue,Agatu,primary,Dispensary,Functional
Olegodege Health Post,7.967902426,7.852316277,Benue,Agatu,primary,Dispensary,Functional
Oloke Health Post,7.733217851,7.973983501,Benue,Apa,primary,Dispensary,Functional
Tsa Akeme Primary Health Center,7.349452211,9.006009937,Benue,Gboko,primary,Primary Health Center,Functional
Agash Child Health Center,7.674427676,8.869044038,Benue,Tarka,primary,Primary Health Center,Functional
Awambe Health Center,7.583071905,8.894003203,Benue,Tarka,primary,Primary Health Center,Functional
Gbajimba Child Health Center,7.733990948,8.771589131,Benue,Guma,primary,Primary Health Center,Functional
Jov Kyudan Primary Health Center,7.074723527,8.668026612,Benue,Konshisha,primary,Primary Health Center,Functional
Modern Market Primary Health Center,7.7322865,8.5114289,Benue,Makurdi,primary,Primary Health Center,Functional
Ipari Primary Health Center,7.103368201,7.653067961,Benue,Ogbadibo,primary,Primary Health Center,Functional
Ondo Primary Health Center,7.277016655,7.824581645,Benue,Okpokwu,primary,Primary Health Center,Functional
Oju Primary Health Center,6.850314273,8.426875001,Benue,Oju,primary,Primary Health Center,Functional
Aginde Child Health Center,6.774625795,9.045043634,Benue,Vandeikya,primary,Primary Health Center,Functional
Bako Child Health Center,6.845075732,9.008358857,Benue,Vandeikya,primary,Primary Health Center,Functional
Jodan Hospital,7.32006,9.02194,Benue,Gboko,primary,Primary Health Center,Functional
Kpera Nya Clinic,7.33866,9.08462,Benue,Gboko,primary,Primary Health Center,Functional
Nusy Hospital Mkay Gboko,7.31788,9.04788,Benue,Gboko,primary,Primary Health Center,Functional
Faith Clinic Gboko,7.33639,9.00243,Benue,Gboko,primary,Primary Health Center,Functional
Ushakaa Hospital,7.9028,8.83534,Benue,Guma,primary,Primary Health Center,Functional
Woma Clinic and Maternity,7.503896667,9.60738,Benue,Ukum,primary,Maternity Home,Functional
Fiidi Clinic,7.71476,8.62513,Benue,Makurdi,primary,Primary Health Center,Functional
Ohe Lime Clinic,7.05505,8.20965,Benue,Oturkpo,primary,Primary Health Center,Functional
Nazareth Hospital,7.200546667,8.129643333,Benue,Oturkpo,primary,Primary Health Center,Functional
Holy Cross Hospital Igede,6.866908333,8.422256667,Benue,Oju,primary,Primary Health Center,Functional
New Concept Clinic,7.669573333,7.883788333,Benue,Apa,primary,Primary Health Center,Functional
Jordan Health Clinic,7.504288333,9.612353333,Benue,Ukum,primary,Primary Health Center,Functional
Amama Clinic Mkar,7.314421667,9.04671,Benue,Gboko,primary,Primary Health Center,Functional
Victory Hospital Gboko,7.314796667,8.99484,Benue,Gboko,primary,Primary Health Center,Functional
Unity Hospital Vandeikya,6.805408333,9.053693333,Benue,Vandeikya,primary,Primary Health Center,Functional
Nkst Clinic,7.72127,8.52457,Benue,Makurdi,primary,Private Non Profit,Functional
Gemanen Clinic Ageraga,7.09827,8.80391,Benue,Konshisha,primary,Primary Health Center,Functional
Saint Veronica Hospital,7.182743333,8.122185,Benue,Oturkpo,primary,Primary Health Center,Functional
Okpokpolo Health Post,7.975027458,7.739964302,Benue,Agatu,primary,Dispensary,Functional
Umuozugwo Health Post,5.371526667,7.544225,Abia,Ikwuano,primary,Dispensary,Functional
Gboko East Primary Health Center,7.328405701,9.01333089,Benue,Gboko,primary,Primary Health Center,Functional
Nbazuenge Child Health Center,7.334275233,8.988499279,Benue,Gboko,primary,Primary Health Center,Functional
Abagen Primary Health Center,7.299342417,8.636800274,Benue,Konshisha,primary,Primary Health Center,Functional
Royale Medical Center,6.499236667,3.199141667,Lagos,Ojo,secondary,Medical Center,Functional
Mbaiwar Primary Health Center,7.377555902,8.150638085,Benue,Gwer East,primary,Primary Health Center,Functional
Jirgba Child Health Center,7.088517573,8.659803079,Benue,Konshisha,primary,Primary Health Center,Functional
Abenga Primary Health Center,6.860200786,9.286511009,Benue,Kwande,primary,Primary Health Center,Functional
Seta Medical Center,6.906541083,9.492644511,Benue,Kwande,primary,Medical Center,Functional
Abilega Ikwokwu Health Center,6.984324862,8.30454766,Benue,Obi,primary,Primary Health Center,Functional
Olaiodu Primary Health Center,7.098884108,7.719219067,Benue,Ogbadibo,primary,Primary Health Center,Functional
